/
0
83, 86
84, 86
85, 86
85, 85
85, 85
86, 85
87, 85
87, 84
88, 84
89, 84
90, 84
90, 83
91, 83
92, 83
92, 82
93, 82
94, 82
95, 82
95, 81
96, 81
97, 81
97, 80
98, 80
99, 80
100, 79
101, 79
102, 79
103, 78
104, 78
105, 78
106, 77
107, 77
108, 77
109, 76
110, 76
112, 76
113, 75
114, 75
115, 75
116, 74
118, 74
119, 74
120, 73
122, 73
124, 73
125, 73
126, 72
128, 72
130, 72
131, 71
133, 71
135, 71
137, 71
139, 70
141, 70
143, 70
145, 70
/
1
47, 21
54, 21
61, 23
69, 23
76, 18
83, 16
90, 21
97, 23
104, 18
111, 23
118, 16
126, 16
134, 19
141, 16
148, 16
155, 16
163, 16
170, 18
177, 19
185, 21
191, 16
199, 23
206, 23
213, 23
220, 21
227, 18
234, 23
241, 21
249, 19
256, 16
263, 19
271, 18
279, 18
286, 18
294, 18
301, 18
308, 19
316, 18
323, 16
330, 16
337, 18
345, 18
352, 18
360, 16
367, 21
374, 18
382, 16
389, 16
396, 16
403, 21
410, 19
417, 21
425, 18
432, 18
439, 23
447, 18
454, 21
/
1
47, 19
55, 16
62, 21
69, 19
76, 23
84, 16
91, 18
98, 23
105, 21
113, 21
120, 18
128, 23
135, 21
142, 16
150, 21
157, 16
164, 23
172, 16
179, 19
186, 19
193, 19
201, 18
208, 19
216, 19
223, 18
230, 23
238, 18
245, 23
252, 16
260, 18
267, 16
274, 19
281, 18
289, 23
296, 21
303, 19
310, 21
317, 19
324, 21
331, 19
339, 19
346, 23
353, 19
360, 23
368, 16
375, 18
383, 23
390, 23
398, 19
405, 18
413, 21
420, 21
427, 18
434, 21
442, 18
449, 16
455, 21
